Year,age2,age3,age4,age5,CU,CU_Names
2009,0.102472838,0.134384035,0.653133868,0.110009259,3,Northwest_Vancouver_Island
2010,0.014571088,0.094462423,0.161542609,0.72942388,3,Northwest_Vancouver_Island
2011,0.006606299,0.041297713,0.880359851,0.071736136,3,Northwest_Vancouver_Island
2012,0.010095856,0.379952492,0.335644713,0.274306939,3,Northwest_Vancouver_Island
2013,0.004565045,0.043166712,0.716503566,0.235764678,3,Northwest_Vancouver_Island
2014,0.003386751,0.19581274,0.586953806,0.213846702,3,Northwest_Vancouver_Island
2015,0.014544023,0.320064714,0.632042295,0.033348968,3,Northwest_Vancouver_Island
1985,0.009642763,0.452232992,0.429715375,0.10840887,4,Westcoast_Vancouver_Island
1986,0.185736752,0.034046708,0.657156152,0.123060389,4,Westcoast_Vancouver_Island
1987,0.06048906,0.851047079,0.03139525,0.057068611,4,Westcoast_Vancouver_Island
1988,0.115256724,0.207394837,0.667766237,0.009582202,4,Westcoast_Vancouver_Island
1989,0.008460353,0.072845326,0.115695153,0.802999169,4,Westcoast_Vancouver_Island
1990,0.032814021,0.109982199,0.35053789,0.50666589,4,Westcoast_Vancouver_Island
1991,0.024947836,0.172816287,0.231033124,0.571202753,4,Westcoast_Vancouver_Island
1992,0.007463768,0.207305581,0.441008655,0.344221997,4,Westcoast_Vancouver_Island
1993,0.004818132,0.092681633,0.409350135,0.4931501,4,Westcoast_Vancouver_Island
1994,0.016642902,0.062797888,0.375663753,0.544895458,4,Westcoast_Vancouver_Island
1995,0.078712342,0.072060543,0.218369851,0.630857263,4,Westcoast_Vancouver_Island
1996,0.048967277,0.234757291,0.368962303,0.347313129,4,Westcoast_Vancouver_Island
1997,0.008095227,0.238532316,0.590641596,0.162730861,4,Westcoast_Vancouver_Island
1998,0.003626398,0.05948436,0.5776617,0.359227542,4,Westcoast_Vancouver_Island
1999,0.000770577,0.032801421,0.232323244,0.734104757,4,Westcoast_Vancouver_Island
2000,0.049180324,0.12122911,0.454330323,0.375260243,4,Westcoast_Vancouver_Island
2001,0.092468993,0.422064212,0.259118912,0.226347883,4,Westcoast_Vancouver_Island
2002,0.036118827,0.113828976,0.734762457,0.11528974,4,Westcoast_Vancouver_Island
2003,0.020718558,0.087722732,0.597138203,0.294420507,4,Westcoast_Vancouver_Island
2004,0.00699849,0.125566273,0.29634447,0.571090767,4,Westcoast_Vancouver_Island
2005,0.029039701,0.161212281,0.445630382,0.364117636,4,Westcoast_Vancouver_Island
2006,0.003774093,0.180485515,0.4966762,0.319064192,4,Westcoast_Vancouver_Island
2007,0.016606346,0.096100568,0.64757062,0.239722466,4,Westcoast_Vancouver_Island
2008,0.010466794,0.199899898,0.239771711,0.549861597,4,Westcoast_Vancouver_Island
2009,0.065648056,0.159610279,0.516340209,0.258401456,4,Westcoast_Vancouver_Island
2010,0.037144708,0.326461495,0.511879712,0.124514085,4,Westcoast_Vancouver_Island
2011,0.021881612,0.078899161,0.802328299,0.096890928,4,Westcoast_Vancouver_Island
2012,0.054889123,0.065485986,0.470197687,0.409427204,4,Westcoast_Vancouver_Island
2013,0.013537906,0.409747292,0.357400722,0.219314079,4,Westcoast_Vancouver_Island
2014,0.064655172,0.114224138,0.740301724,0.080818966,4,Westcoast_Vancouver_Island
2015,0.006134969,0.483895706,0.292944785,0.21702454,4,Westcoast_Vancouver_Island
2016,0.005404177,0.151372064,0.804010796,0.039212963,4,Westcoast_Vancouver_Island
2017,0.024693324,0.102188316,0.634993456,0.238124905,4,Westcoast_Vancouver_Island
2018,0.032943371,0.416876968,0.279617545,0.270562116,4,Westcoast_Vancouver_Island
2019,0.055641422,0.270479134,0.608964451,0.064914992,4,Westcoast_Vancouver_Island
