"","Value","lwr","upr","Stock","RP"
"1",177.354702314745,38.3623680987828,540.448404613076,"Artlish","SGEN"
"2",309.400804929787,81.3823270814306,980.986691952536,"Bedwell/Ursus","SGEN"
"3",210.10295755681,53.6811058826137,634.846454800382,"Burman","SGEN"
"4",139.553390979564,34.7054475396544,464.755088247367,"Cayeghle","SGEN"
"5",56.4750153736808,11.3655289507169,217.624124609611,"Conuma","SGEN"
"6",2822.48173075377,693.480933319723,7925.93511071721,"Gold","SGEN"
"7",302.691451713192,76.3497887930056,911.720524882753,"Kaouk","SGEN"
"8",321.668522503934,81.4515548465827,928.192259925099,"Leiner","SGEN"
"9",482.09540895951,119.169693843001,1634.51102280965,"Marble","SGEN"
"10",756.477693775851,186.841280553613,2311.28350342302,"Megin","SGEN"
"11",341.6740891991,76.9119347657009,1115.0579790645,"Moyeha","SGEN"
"12",125.763791298543,27.4645139883325,401.224513683609,"Nahmint","SGEN"
"13",1059.95378779847,282.021074895067,3358.40896567745,"Nitinat","SGEN"
"14",2009.5794460391,511.407634022919,5829.26413745087,"San Juan","SGEN"
"15",260.48086835574,53.9219643664642,757.864459307457,"Sarita","SGEN"
"16",3042.1468281797,773.043203610734,9324.30685587506,"Somass","SGEN"
"17",238.629747827611,54.83780794283,734.363197770543,"Tahsis","SGEN"
"18",529.233430448869,121.166521333308,1562.97073866124,"Tahsish","SGEN"
"19",35.5916109035414,7.90280738705305,143.616653258035,"Tranquil","SGEN"
"20",540.008225811191,122.935330276067,1755.46446053569,"Zeballos","SGEN"
"21",111.238896103703,32.8873954790494,373.155326656731,"Barkley","SGEN"
"22",1389.65073465301,398.978104604115,3968.75479389389,"Clayoquot","SGEN"
"23",1049.52648215318,234.011663399316,2939.55540388009,"Kyuquot","SGEN"
"24",241.033895352209,55.6982034868318,739.455435822055,"Nootka/Esperanza","SGEN"
"25",658.18573213204,165.399853358128,2072.81886262022,"Quatsino","SGEN"
"26",1210.48924660519,331.500550076704,4046.70602027745,"WCVI Nootka & Kyuquot","SGEN"
"27",657.624221791635,155.833494022052,2046.89761322524,"WCVI North","SGEN"
"28",1492.50925362467,412.443824799047,4943.91839725739,"WCVI South","SGEN"
"29",972.911925891653,469.558758515017,1709.82625435818,"Artlish","SREP"
"30",1578.4598710703,790.023365226247,2979.22249893711,"Bedwell/Ursus","SREP"
"31",1068.05372138672,485.826207365366,2257.65574950684,"Burman","SREP"
"32",765.417803870674,365.044949273237,1465.8429378497,"Cayeghle","SREP"
"33",297.294073981378,134.153368380382,700.71616968068,"Conuma","SREP"
"34",13881.7722757139,7935.83849143619,23195.4510268993,"Gold","SREP"
"35",1579.51355505202,812.455273563905,2979.60751581021,"Kaouk","SREP"
"36",1673.15888168362,894.149059474606,3190.34260069888,"Leiner","SREP"
"37",2607.25692615063,1350.4143768917,4874.26582785439,"Marble","SREP"
"38",3838.11850639595,2118.84397817258,7021.06910481467,"Megin","SREP"
"39",1783.43894934733,919.559526858267,3529.33492265822,"Moyeha","SREP"
"40",650.10032097774,279.62267780315,1383.08955143489,"Nahmint","SREP"
"41",5590.29807165129,2974.77845603404,10532.5619628393,"Nitinat","SREP"
"42",9897.08492560709,5599.6220997783,17227.9754208706,"San Juan","SREP"
"43",1306.12828308139,664.65984842758,2629.37198273415,"Sarita","SREP"
"44",16222.6986066651,9299.1299980695,30723.6250640989,"Somass","SREP"
"45",1184.59884940767,551.657394703353,2445.10905631325,"Tahsis","SREP"
"46",2720.10308764871,1392.73808577168,5244.11972081403,"Tahsish","SREP"
"47",188.067243149582,81.6084366251948,416.93140593289,"Tranquil","SREP"
"48",2940.88898324605,1476.68872341803,5525.74666211601,"Zeballos","SREP"
"49",629.989584610057,283.108798387873,1276.80785267893,"Barkley","SREP"
"50",7265.19004415723,4347.92974246509,12555.7219689198,"Clayoquot","SREP"
"51",5332.72786233645,2898.05144648791,9375.14063403169,"Kyuquot","SREP"
"52",1204.51192846688,571.99291392978,2578.60406167105,"Nootka/Esperanza","SREP"
"53",3424.69765453401,1744.2734763543,6142.43199595804,"Quatsino","SREP"
"54",6608.23022704819,3620.51612635262,11739.3546386004,"WCVI Nootka & Kyuquot","SREP"
"55",3410.15432000491,1789.9008768366,6183.07463735407,"WCVI North","SREP"
"56",8042.87733871943,4218.41582971048,14357.1704350608,"WCVI South","SREP"
