V1,V2,Harvest rate,V3,V4
,,<20%,20-40%,40-60%
Productivity,>4,25th (lower),25th (lower),25th (lower)
,,50th (upper),50th (upper),50th (upper)
,2.5-4,25th (lower),25th (lower),Further evaluation required
,,50th (upper),50th (upper),
,1.5-2.5,*50th (lower and upper),Further evaluation required,Further evaluation required
