CU,Variable,Mean,P05,P50,P95
Middle Fraser,adjProd,2.29,1.64,2.22,3.19
,alpha,2.58,1.87,2.57,3.35
,beta,0.00008,0.00004,0.00008,0.00013
,gamma,0.37,0.23,0.36,0.51
,Sgen,2515,1339,2452,3932
,sigma,0.52,0.39,0.5,0.69
Fraser Canyon,adjProd,6.36,3.24,5.8,11.27
,alpha,3.55,2.68,3.53,4.49
,beta,0.000426542,0.000269798,0.000425779,0.000586556
,gamma,0.37,0.23,0.36,0.51
,Sgen,304,53,258,715
,sigma,0.75,0.57,0.74,1
Lower Thompson,adjProd,2.64,1.57,2.47,4.24
,alpha,2.7,1.93,2.68,3.53
,beta,0.00007,0.00003,0.00007,0.00012
,gamma,0.37,0.23,0.36,0.51
,Sgen,2781,1241,2654,4767
,sigma,0.67,0.51,0.66,0.89
North Thompson,adjProd,3.2,2.15,3.09,4.62
,alpha,2.91,2.19,2.9,3.66
,beta,0.00006,0.00004,0.00006,0.00009
,gamma,0.37,0.23,0.36,0.51
,Sgen,3171,1771,3051,5017
,sigma,0.5,0.37,0.49,0.66
South Thompson,adjProd,2.35,1.54,2.22,3.56
,alpha,2.59,1.83,2.57,3.41
,beta,0.00005,0.00003,0.00005,0.00008
,gamma,0.37,0.23,0.36,0.51
,Sgen,4050,2130,3978,6247
,sigma,0.64,0.48,0.62,0.84
